Index,28,42,55,60,64,66,67,71,85,90,101,108,110,116,120,128,139,160,173,180,193,195,202,212,241,242,256,270,279,282,296,311,350,379,404,432,447,532,537,540,555,582,594,
Propagation - Offset - One Direction - Posterior,0.103715256,0.0,0.7931893,0.11960977,0.2598756,0.04087718,1.1344631,0.6383939,0.0,0.7451197,0.39531845,0.0,0.0,1.1085912,0.7027889,0.32778436,1.2192627,0.05342062,0.0,0.19959706,0.20332453,0.07042803,0.0,0.25884384,0.49612954,0.0,0.3270738,5.010722,0.5357199,0.0,0.61510265,0.0,0.6066562,0.37041533,0.0,0.66108364,0.71781087,0.17604169,1.1061336,0.39180815,0.27416924,0.68471587,0.0,
Propagation - Offset - One Direction - Left,0.3096772,0.0,0.9741196,0.0025210083,0.32599422,0.11696285,0.03643568,0.5346301,0.26328942,0.33321148,0.0,0.0,0.0,0.0,0.5678266,0.65998685,1.6541146,0.10397784,0.0,0.7161819,0.20975006,0.0473091,0.0,0.0,0.0761033,0.0,0.48210168,0.3371185,0.5167215,0.0,0.25060263,0.0,0.17055684,0.047991075,0.0,0.025390625,0.2129572,0.019949798,0.01755824,0.021638848,0.36562493,0.070287585,0.0,
Propagation - Offset - One Direction - Right,0.27801448,0.0,0.123952866,0.248526,0.035927564,0.0,0.57742226,0.54193115,0.0,0.26706454,0.0,0.0,0.0,0.0,0.08393501,0.034396827,0.56811523,0.1558589,0.0,0.15669633,0.673203,0.0,0.0,0.24064258,0.07019983,0.0,0.0,0.8256819,0.0,0.0,0.09147169,0.0,0.63079643,0.64118165,0.00869374,0.0,0.18447295,0.0,0.06093754,0.120148495,0.21077219,0.17689036,0.0,
Propagation - Offset - One Direction - Ratio - Anterior,0.7532718,,0.098950505,0.0,0.4098503,0.19376129,0.42124492,0.19620511,0.21882577,0.3685124,0.40991417,,,0.021711512,0.31969583,0.32205153,0.31853923,0.29496577,,0.14153749,0.69202113,0.70018184,1.0,0.07126301,0.49154457,1.0,0.4132918,0.07484802,0.0,,0.50822157,,0.41351837,0.36956894,0.9966985,0.16352123,0.17625171,0.26927117,0.0,0.34767216,0.51518744,0.42355052,,
Propagation - Offset - One Direction - Ratio - Posterior,0.03701074,,0.37789732,0.32269683,0.24664871,0.20879851,0.37554672,0.2992135,0.0,0.3497364,0.59008586,,,0.9782885,0.35296595,0.21740156,0.24143006,0.12023138,,0.1597674,0.0576461,0.17934528,0.0,0.48129004,0.3926633,0.0,0.23715113,0.750897,0.5090259,,0.3160275,,0.25269198,0.22038879,0.0,0.80553997,0.53019524,0.6563486,0.9337381,0.47899088,0.15627316,0.42355052,,
Propagation - Offset - One Direction - Ratio - Left,0.110508166,,0.46409756,0.0068014627,0.3094021,0.5974402,0.012061477,0.2505797,0.7811742,0.15639928,0.0,,,0.0,0.28518304,0.43773344,0.32753646,0.23401824,,0.5732676,0.059467852,0.12047283,0.0,0.0,0.060232196,0.0,0.34955707,0.050519917,0.49097413,,0.12875465,,0.07104246,0.028553609,0.0,0.030938843,0.15729615,0.07438023,0.014821716,0.026453791,0.20840181,0.04347839,,
Propagation - Offset - One Direction - Ratio - Right,0.09920933,,0.059054576,0.6705017,0.03409896,0.0,0.19114685,0.25400168,0.0,0.12535194,0.0,,,0.0,0.04215519,0.022813547,0.11249429,0.35078463,,0.12542753,0.19086495,0.0,0.0,0.4474469,0.055559877,0.0,0.0,0.12373507,0.0,,0.046996333,,0.2627472,0.38148865,0.0033015423,0.0,0.13625689,0.0,0.051440176,0.14688319,0.12013761,0.109420575,,
Region - Event Centroid Distance To Border,10.251452,10.64043,4.1610456,4.100604,4.17797,3.9799469,3.0174878,4.0507336,1.7178391,5.434287,13.398983,2.2116113,1.6426841,2.1452782,10.847347,4.620608,9.609242,10.443681,1.8341079,1.4270084,7.709791,4.8545966,7.823993,13.508948,7.1142445,20.720459,16.92921,9.350004,8.32169,6.912714,13.487519,7.959045,12.591993,2.6729999,7.155046,8.14265,6.561651,21.144903,11.224422,9.385029,3.2894347,12.581449,17.962742,
Region - Event Centroid Distance To Border - Normalized By Region Radius,0.07825536,0.08122466,0.031763706,0.03130232,0.0318929,0.030381273,0.023034258,0.03092163,0.013113276,0.041483108,0.102282315,0.01688253,0.012539573,0.01637617,0.08280418,0.035271816,0.07335299,0.079722755,0.014000824,0.010893194,0.05885337,0.03705799,0.05972514,0.10312174,0.05430721,0.15817145,0.12923062,0.07137408,0.06352435,0.052768808,0.102958165,0.06075607,0.096122086,0.02040458,0.05461867,0.06215763,0.050088942,0.16141148,0.085682616,0.071641445,0.025110189,0.09604159,0.13712017,
Network - Temporal Density,21,11,16,13,20,16,19,18,13,11,8,12,11,18,19,9,47,11,7,11,62,9,22,11,14,13,24,122,10,16,24,21,36,11,30,27,36,16,24,26,10,23,9,
Network - Temporal Density With Similar Size Only,3,4,6,6,7,5,4,4,7,3,1,1,7,3,3,1,6,3,2,6,4,3,5,2,2,3,3,1,4,4,3,8,3,4,3,5,2,2,4,5,4,2,3,
NetWork - Spatial Density,61,32,43,46,40,31,52,61,25,43,60,23,37,43,37,60,43,43,61,23,40,32,48,52,52,61,56,61,61,52,59,31,52,61,52,61,52,52,38,61,61,36,59,
