Index,13,25,28,35,48,54,67,72,76,79,81,88,109,114,126,127,148,152,154,159,162,167,168,179,184,185,189,191,197,204,206,208,213,220,239,240,245,250,255,256,260,268,274,280,281,283,284,286,290,291,293,295,300,301,302,311,313,315,317,322,323,325,326,330,333,338,339,340,341,342,352,359,
Propagation - Offset - Overall,0.0,0.032054927,3.6948085,3.3670201,2.8545246,3.439619,3.4859126,1.9320561,4.378785,3.1859787,2.2950928,0.50559753,0.96664166,1.447654,0.63031495,0.0,6.874404,0.4761365,0.6655991,3.070726,2.3680046,1.7444628,3.449971,0.86463684,1.530343,0.0,2.3337386,1.8913655,0.05915806,0.5961256,10.892004,2.6237895,0.0,3.9144878,0.9888635,0.0,1.6472169,0.0,0.0,0.6063403,1.3910952,0.41909105,1.5136173,0.054042287,8.812432,0.8467212,10.330787,0.0,7.6929975,0.31708682,0.0,0.0,0.44772494,1.2844979,0.0,1.3849545,1.3101034,16.062033,0.033720143,1.7992972,0.1360046,7.0586267,0.79751,0.7246282,0.48487192,4.150104,0.42800042,0.68338263,9.247743,0.34875077,2.4468522,7.054412,
Propagation - Offset - One Direction - Anterior,0.0,0.012575117,2.128168,0.8061307,0.82359445,0.8593516,1.6313554,0.80571663,0.84927475,0.58813614,0.96502775,0.04313742,0.9276704,0.4390408,0.30142936,0.0,1.0463827,0.17096375,0.048831172,1.503478,2.1288722,0.22761765,0.9115576,0.14377989,0.0,0.0,1.4479284,0.23485078,0.05915806,0.0,5.66233,0.7406,0.0,2.567287,0.71972364,0.0,0.11724457,0.0,0.0,0.007648199,0.93692315,0.08926803,0.06731774,0.002569211,0.89604515,0.086448886,5.147942,0.0,4.4342012,0.24518172,0.0,0.0,0.33710697,1.2844979,0.0,0.58423406,0.8064785,6.438194,0.0,0.050211802,0.10121812,2.0080738,0.46217996,0.7246282,0.017185796,0.019267049,0.2923385,0.10711864,1.6294559,0.123410694,0.44510132,1.1119144,
Propagation - Offset - One Direction - Posterior,0.0,0.019479811,0.90173167,0.71107864,0.25491157,1.9758078,0.98203367,0.33204994,1.9238211,1.6832083,1.1396809,0.4417556,0.038971238,0.70149255,0.21445565,0.0,2.3348498,0.10647202,0.07798942,0.83713824,0.13807762,1.1962332,2.333959,0.46176234,1.4177257,0.0,0.73365986,0.841647,0.0,0.18326406,3.3698957,0.32751864,0.0,0.7132707,0.115342684,0.0,1.1220341,0.0,0.0,0.5489086,0.0012564373,0.08926803,0.6231252,0.051473077,0.9845484,0.55196506,2.6107814,0.0,0.91562176,0.046399996,0.0,0.0,0.0,0.0,0.0,0.021936543,0.32785657,5.0331664,0.033720143,1.451027,0.0,4.475847,0.11908199,0.0,0.3229545,3.2189543,0.0,0.18753082,3.760429,0.0,1.5191649,3.2259367,
Propagation - Offset - One Direction - Left,0.0,0.0,0.46675038,0.18337847,1.7760187,0.40834665,0.23418549,0.36232427,0.2698533,0.07914161,0.19038412,0.0,0.0,0.0880294,0.08086258,0.0,1.1636317,0.086121224,0.5387785,0.16301508,0.034092814,0.25384417,0.07278789,0.0,0.10815573,0.0,0.055825017,0.18974856,0.0,0.1792,0.8350723,0.79776525,0.0,0.5784155,0.0,0.0,0.19887921,0.0,0.0,0.021128668,0.45291552,0.24055499,0.024606036,0.0,6.865566,0.0,2.0816183,0.0,0.42067093,0.025505096,0.0,0.0,0.012501454,0.0,0.0,0.1468813,0.0,3.062242,0.0,0.2631087,0.0,0.070672564,0.20598999,0.0,0.12067228,0.35230654,0.1326457,0.23376742,0.0,0.076715074,0.48258594,1.3410003,
Propagation - Offset - One Direction - Right,0.0,0.0,0.19815816,1.6664323,0.0,0.19611321,0.6383381,0.43196526,1.3358362,0.8354927,0.0,0.020704499,0.0,0.2190913,0.033567395,0.0,2.32954,0.11257949,0.0,0.5670946,0.06696211,0.06676793,0.13166611,0.2590946,0.0044616107,0.0,0.09632547,0.62511915,0.0,0.23366152,1.0247055,0.7579058,0.0,0.05551478,0.15379721,0.0,0.20905897,0.0,0.0,0.028654901,0.0,0.0,0.7985683,0.0,0.06627252,0.20830724,0.49044496,0.0,1.9225035,0.0,0.0,0.0,0.098116525,0.0,0.0,0.6319026,0.1757684,1.5284318,0.0,0.03494967,0.03478647,0.50403345,0.010258065,0.0,0.024059322,0.5595761,0.003016224,0.15496576,3.857858,0.14862502,0.0,1.3755606,
Propagation - Offset - One Direction - Ratio - Anterior,,0.39229903,0.57598877,0.23941962,0.28852245,0.24983917,0.46798518,0.4170255,0.19395214,0.18460141,0.42047438,0.08531968,0.9596839,0.30327743,0.47822022,,0.15221432,0.35906458,0.07336424,0.48961648,0.89901525,0.13048008,0.26422182,0.16628934,0.0,,0.62043303,0.12416996,1.0,0.0,0.51986116,0.2822635,,0.65584236,0.7278291,,0.07117737,,,0.012613707,0.6735148,0.2130039,0.044474743,0.04754075,0.10167966,0.10209841,0.49831074,,0.5763945,0.77323216,,,0.7529332,1.0,,0.42184353,0.61558384,0.40083307,0.0,0.027906341,0.74422574,0.28448507,0.5795287,1.0,0.03544399,0.0046425457,0.68303317,0.15674767,0.17620039,0.353865,0.18190773,0.15761971,
Propagation - Offset - One Direction - Ratio - Posterior,,0.607701,0.24405369,0.2111893,0.089300886,0.57442635,0.28171495,0.17186351,0.43935043,0.5283175,0.49657288,0.8737297,0.040316116,0.48457196,0.3402357,,0.33964396,0.22361659,0.117171764,0.272619,0.058309693,0.68573153,0.6765156,0.5340535,0.9264104,,0.31437105,0.4449944,0.0,0.30742526,0.3093917,0.124826565,,0.18221304,0.11664166,,0.68116957,,,0.9052814,9.0320007E-4,0.2130039,0.4116795,0.9524593,0.11172266,0.6518853,0.25271854,,0.11902016,0.14633214,,,0.0,0.0,,0.01583918,0.25025243,0.313358,1.0,0.806441,0.0,0.63409597,0.14931723,0.0,0.66606146,0.7756322,0.0,0.27441555,0.4066321,0.0,0.620865,0.45729348,
Propagation - Offset - One Direction - Ratio - Left,,0.0,0.126326,0.054463137,0.6221767,0.11871857,0.06718054,0.18753299,0.061627433,0.024840597,0.082952686,0.0,0.0,0.060808312,0.12828918,,0.16927019,0.18087506,0.809464,0.05308682,0.014397276,0.14551423,0.021098116,0.0,0.07067417,,0.023920853,0.10032358,0.0,0.30060777,0.076668374,0.30405077,,0.14776276,0.0,,0.1207365,,,0.03484622,0.32558197,0.5739922,0.016256444,0.0,0.7790773,0.0,0.20149659,,0.054682318,0.080435686,,,0.027922174,0.0,,0.10605497,0.0,0.19065097,0.0,0.1462286,0.0,0.010012226,0.2582914,0.0,0.24887455,0.084891014,0.30991954,0.34207398,0.0,0.21997106,0.19722725,0.19009385,
Propagation - Offset - One Direction - Ratio - Right,,0.0,0.05363151,0.4949279,0.0,0.05701597,0.18311936,0.22357802,0.30507004,0.2622405,0.0,0.04095055,0.0,0.1513423,0.05325496,,0.33887157,0.23644373,0.0,0.1846777,0.028277863,0.038274206,0.03816441,0.29965714,0.0029154317,,0.041275177,0.33051208,0.0,0.3919669,0.0940787,0.28885922,,0.014181876,0.15552926,,0.12691648,,,0.04725878,0.0,0.0,0.5275893,0.0,0.0075203436,0.24601634,0.047474116,,0.24990304,0.0,,,0.21914464,0.0,,0.45626235,0.13416377,0.095158055,0.0,0.019424068,0.25577423,0.07140673,0.012862615,0.0,0.049619954,0.13483423,0.0070472453,0.2267628,0.4171675,0.42616397,0.0,0.19499296,
Region - Event Centroid Distance To Border,1.0664612,12.039462,8.34825,12.372252,4.9187126,5.672979,8.980294,5.5170937,12.488306,13.518163,0.9776141,2.5556064,9.649325,8.091497,5.47315,1.2239307,2.6128387,1.5452886,3.718258,5.2162886,2.9870195,0.80587673,8.106012,5.696351,3.9244406,2.749964,3.948338,3.412248,6.3765793,4.0954943,6.8292513,13.488578,5.064418,6.545605,5.7818704,3.5634005,6.221543,1.0910475,2.4233103,0.9390341,5.8177514,1.6722907,5.7428465,4.802872,2.4727747,1.5040817,4.5061946,2.7718723,4.0981164,0.88082224,1.5917711,1.2093898,0.8542954,1.6828351,1.0740538,5.69354,4.6042676,3.9322305,4.6713605,0.9598207,1.0116132,3.4191,4.556892,4.802433,0.8968476,3.268067,0.8135595,0.77763194,3.6060903,1.4729037,2.44447,1.811273,
Region - Event Centroid Distance To Border - Normalized By Region Radius,0.010455502,0.118033946,0.08184559,0.12129659,0.048222672,0.05561744,0.0880421,0.054089155,0.12243437,0.132531,0.009584452,0.025054965,0.09460123,0.0793284,0.053658333,0.011999321,0.025616067,0.015149888,0.036453508,0.051140085,0.029284505,0.007900752,0.07947071,0.05584658,0.038474906,0.02696043,0.038709197,0.033453412,0.06251548,0.040151905,0.06695344,0.13224097,0.049651157,0.0641726,0.056685004,0.0349353,0.06099552,0.010696544,0.023757944,0.009206217,0.05703678,0.016395006,0.056302417,0.047086984,0.02424289,0.0147458995,0.044178378,0.027175218,0.040177613,0.008635513,0.0156056,0.011856763,0.008375444,0.016498383,0.010529939,0.05581902,0.04513988,0.03855128,0.045797653,0.009410007,0.009917777,0.03352059,0.04467541,0.047082677,0.008792624,0.03203987,0.007976073,0.0076238425,0.03535383,0.014440233,0.023965392,0.017757578,
Network - Temporal Density,8,12,33,37,12,9,11,10,24,15,12,9,22,20,22,9,29,17,13,31,46,14,17,26,20,20,4,16,22,30,47,12,29,30,9,21,29,8,3,22,10,3,15,18,34,21,73,18,30,9,13,17,15,15,12,27,20,82,32,16,12,66,17,20,4,27,12,7,61,2,8,29,
Network - Temporal Density With Similar Size Only,3,4,3,1,2,2,3,3,5,2,4,3,4,4,8,2,3,6,5,6,4,7,6,12,9,2,1,2,9,12,10,3,11,8,2,6,11,3,1,6,3,2,6,8,5,11,4,3,3,2,6,2,7,7,4,12,2,3,7,5,4,5,5,8,3,6,5,3,4,2,2,6,
NetWork - Spatial Density,23,38,46,39,41,41,39,21,41,41,17,41,17,26,10,26,36,46,33,41,41,41,19,46,38,36,39,46,29,46,26,39,10,19,41,19,16,17,41,19,41,41,41,41,17,26,26,13,41,25,34,34,16,33,41,34,41,34,33,36,19,46,46,41,34,36,46,46,46,19,39,34,
