Index,5,44,76,90,91,120,151,153,155,179,197,200,216,251,267,293,319,333,371,377,393,414,422,460,474,477,514,532,534,555,567,569,585,589,602,604,610,611,616,619,621,
Propagation - Offset - One Direction - Left,0.23347318,0.0,0.115924925,0.048358455,0.0,0.0,0.0,0.0106398985,0.0,0.0,1.0184395,0.051748373,0.3430677,0.3690104,0.02691158,0.09978071,0.203125,0.006827779,0.0,0.0,1.6960886,1.9491259,0.65914196,0.0052833855,0.0,0.6647135,0.015696008,0.0,0.016743086,0.12802002,0.034247812,0.0779126,0.79020536,0.0011039823,0.2787242,0.0,0.0,0.0,0.0,0.0,0.19166279,
Propagation - Offset - One Direction - Right,1.9174556,0.11245471,0.0,0.12978524,0.89958155,0.07047956,1.4366032,0.03314756,0.0,0.0,0.17896175,0.021393508,0.0,0.16060124,0.0,0.16114055,0.6813152,0.0,0.027029164,0.0,0.4309537,0.022569358,0.055618897,0.07874364,0.0,0.05152279,0.0784952,0.006287217,0.4956249,0.57031256,0.0374275,0.057291627,1.1185629,0.0,0.12308347,0.0,0.0,0.019286662,0.0,0.030468673,0.09971872,
Propagation - Offset - One Direction - Ratio - Anterior,0.38688013,0.0,0.1261002,0.07006091,0.035906207,0.54592925,0.3232424,0.29340696,,0.85956,0.2830155,0.0,0.32351327,0.108968124,0.84611213,0.51076114,0.5517054,0.0,0.085006595,0.0,0.2194981,0.17292456,0.23713537,0.27121887,,0.37989223,0.60657614,0.0,0.088770755,0.0773734,0.3655399,0.13134323,0.20716356,0.99587095,0.3521299,,,0.9604132,,0.0,0.08313733,
Propagation - Offset - One Direction - Ratio - Posterior,0.1693091,0.76394254,0.6528298,0.8498225,0.2712181,0.0,0.3232424,0.5373076,,0.14043993,0.29060614,0.9414023,0.0433002,0.18048368,0.0488078,0.33245587,0.15519685,0.9825757,0.8920916,1.0,0.5739013,0.05520219,0.49854088,0.6947241,,0.038474936,0.3347492,0.95136464,0.5182975,0.344129,0.5342144,0.029143147,0.29099143,0.0,0.4404606,,,0.0,,0.57142895,0.51925516,
Propagation - Offset - One Direction - Ratio - Left,0.04817357,0.0,0.22107002,0.021748241,0.0,0.0,0.0,0.041134592,,0.0,0.36265254,0.04145823,0.6331865,0.4950791,0.10508001,0.059956476,0.0673143,0.017424285,0.0,0.0,0.1647418,0.76303786,0.2437554,0.002141416,,0.53979284,0.009777543,0.0,0.012840166,0.10605159,0.047899295,0.48377696,0.20775732,0.004129128,0.14387494,,,0.0,,0.0,0.26153538,
Propagation - Offset - One Direction - Ratio - Right,0.3956372,0.23605743,0.0,0.0583683,0.69287574,0.45407075,0.35351515,0.12815078,,0.0,0.06372586,0.017139418,0.0,0.21546905,0.0,0.09682652,0.22578341,0.0,0.022901796,0.0,0.041858718,0.008835384,0.020568265,0.031915687,,0.04184003,0.04889716,0.04863539,0.38009155,0.47244605,0.052346434,0.35573667,0.29408765,0.0,0.06353459,,,0.03958678,,0.42857105,0.13607217,
Region - Event Centroid Distance To Border,10.199421,12.969913,13.795118,6.242279,12.548587,8.832819,11.016571,11.355241,6.255033,0.8138262,4.828516,7.813892,4.520319,6.434376,4.5787635,5.731361,15.533318,4.1086373,2.4215572,3.7909226,4.702087,15.389567,10.962543,13.192069,5.032954,0.7425472,14.13586,16.118984,2.4244325,1.0226235,4.4532733,15.219733,1.6234894,12.778778,5.5369425,2.641248,1.9529862,8.065057,1.4944828,6.370152,1.7265733,
Region - Event Centroid Distance To Border - Normalized By Region Radius,0.07285301,0.09264223,0.09853656,0.04458771,0.089632764,0.06309156,0.07868979,0.08110886,0.044678807,0.0058130445,0.0344894,0.055813514,0.032287993,0.045959827,0.032705452,0.04093829,0.110952266,0.02934741,0.017296838,0.02707802,0.033586334,0.10992548,0.07830387,0.094229065,0.035949674,0.0053039086,0.10097043,0.1151356,0.017317375,0.0073044538,0.031809095,0.10871238,0.011596353,0.09127699,0.03954959,0.018866057,0.013949902,0.05760755,0.010674877,0.045501087,0.012332667,
Network - Temporal Density,92,29,28,14,30,17,17,15,19,7,20,19,29,14,15,4,20,10,11,21,52,18,18,11,11,6,16,6,21,6,8,7,28,6,20,5,13,6,2,11,3,
Network - Temporal Density With Similar Size Only,1,9,4,2,11,3,10,6,2,3,2,3,3,3,4,1,3,3,3,7,1,6,2,2,3,2,9,3,4,2,2,3,1,3,7,2,3,4,2,3,2,
NetWork - Spatial Density,49,38,58,68,35,64,64,49,49,68,64,64,45,47,39,49,64,21,49,48,68,38,64,64,49,64,64,68,25,68,64,68,62,39,68,68,25,16,16,62,49,
