Index,25,28,36,42,49,55,68,73,77,80,82,89,110,115,127,149,153,160,168,169,180,185,186,190,192,198,205,207,209,214,221,238,239,244,249,254,255,259,267,273,279,280,282,283,285,289,290,292,294,299,300,301,310,312,314,321,322,324,325,329,332,337,338,339,340,341,351,358,
Propagation - Offset - Overall,0.032074668,6.7237163,3.3690934,2.847291,0.6938797,2.412867,3.4880593,1.9332459,4.381482,3.1879406,2.2965062,0.50590885,1.163807,1.4485455,1.1972587,7.222705,0.47642967,2.5892947,1.3196517,3.4520955,0.8651692,1.5312854,0.0,2.3351758,1.2266097,0.05919449,0.7995702,8.637251,2.6254053,0.0,4.1148996,0.7977764,0.0,1.6482311,0.0,0.0,0.60406953,1.3919518,0.4193491,1.5145494,0.05407557,1.74929,8.402538,1.9987643,0.0,7.6977353,0.6626865,0.0,0.0,0.44800067,2.6635993,0.0,1.3858073,1.3109102,14.2987,1.8004054,0.17741251,1.6843544,11.429472,0.7250744,0.48517048,4.111919,0.31612194,0.6454736,7.0560617,0.34896556,3.23958,7.075683,
Propagation - Offset - One Direction - Anterior,0.012582861,3.0995078,0.80662715,0.7732651,0.1616905,0.60619175,1.63236,0.8062128,0.8497977,0.58849835,0.965622,0.043163985,1.0689437,0.43931115,0.82280856,1.4524399,0.17106903,1.1841972,0.22775781,0.912119,0.14386842,0.0,0.0,1.44882,0.2349954,0.05919449,0.08955623,4.591084,0.741056,0.0,2.7530072,0.51655746,0.0,0.11731677,0.0,0.0,0.0076529086,0.9375001,0.089323,0.067359194,0.002570793,0.28718787,4.081077,0.55607545,0.0,4.436932,0.27918693,0.0,0.0,0.33731455,1.2342724,0.0,0.5845938,0.8069751,5.5679,0.050242722,0.12631202,1.0339671,6.6563206,0.7250744,0.01719638,0.019278914,0.28193897,0.1071846,1.248431,0.12348669,0.8520384,1.1295261,
Propagation - Offset - One Direction - Posterior,0.019491807,2.5502737,0.7115165,0.84322166,0.48896053,0.7067985,0.9826384,0.3322544,1.9250058,1.6842449,1.1403826,0.44202763,0.08914052,0.7019245,0.2145877,1.6738828,0.10653759,0.8376537,0.7710843,2.3353965,0.46204668,1.4185987,0.0,0.73411167,0.43606585,0.0,0.18337691,2.2607396,0.3277203,0.0,0.7056812,0.11541371,0.0,1.122725,0.0,0.0,0.5492466,0.001257211,0.089323,0.62350893,0.051504776,1.2282063,0.79290146,1.238909,0.0,0.9161856,0.0802828,0.0,0.0,0.0,0.0,0.0,0.021950051,0.32805845,4.077401,1.4519206,0.0,0.12542762,1.7188493,0.0,0.32315338,3.1801958,0.0,0.16135508,2.226972,0.0,1.9366238,3.2279232,
Propagation - Offset - One Direction - Left,0.0,0.5327359,0.1834914,0.14587362,0.043228686,0.00835222,0.2343297,0.3625474,0.27001947,0.07919034,0.19050136,0.0,0.0,0.08808361,0.12627435,1.6271138,0.08617426,0.0,0.25400048,0.07283271,0.0,0.10822233,0.0,0.055859394,0.1898654,0.0,0.23963225,0.76009095,0.7982565,0.0,0.58168733,0.0,0.0,0.19900167,0.0,0.0,0.021141678,0.45319444,0.2407031,0.024621189,0.0,0.16758254,3.4039152,0.14690907,0.0,0.42092997,0.23749994,0.0,0.0,0.012509152,0.17314187,0.0,0.14697173,0.0,3.0762117,0.26327074,0.0,0.4432946,2.9470558,0.0,0.12074659,0.3525235,0.031164885,0.22187275,0.0,0.07676232,0.45091778,1.3418261,
Propagation - Offset - One Direction - Right,0.0,0.5411993,1.6674585,1.0849307,0.0,1.0915245,0.6387312,0.43223125,1.3366587,0.8360071,0.0,0.020717248,0.0057227314,0.21922621,0.033588067,2.4692686,0.112648815,0.56744385,0.06680904,0.13174719,0.25925416,0.004464358,0.0,0.096384786,0.36568296,0.0,0.2870048,1.0253365,0.75837255,0.0,0.07452375,0.1658052,0.0,0.2091877,0.0,0.0,0.026028335,0.0,0.0,0.79906005,0.0,0.06631333,0.12464404,0.056870684,0.0,1.9236873,0.06571688,0.0,0.0,0.09817694,1.256185,0.0,0.6322917,0.17587665,1.5771865,0.034971192,0.051100492,0.081665054,0.107246876,0.0,0.024074137,0.55992067,0.0030180812,0.15506119,3.580659,0.14871654,0.0,1.3764077,
Propagation - Offset - One Direction - Ratio - Anterior,0.39229903,0.46098134,0.23941964,0.27157924,0.23302382,0.25123298,0.46798515,0.41702548,0.19395211,0.18460141,0.42047438,0.08531969,0.9184888,0.30327743,0.68724376,0.20109363,0.35906458,0.45734355,0.17258933,0.26422182,0.16628933,0.0,,0.620433,0.19158123,1.0,0.112005465,0.53154457,0.2822635,,0.6690339,0.6474965,,0.07117738,,,0.01266892,0.6735148,0.2130039,0.044474743,0.04754075,0.16417396,0.48569575,0.27820963,,0.5763945,0.4212956,,,0.75293314,0.46338516,,0.4218435,0.61558384,0.38939905,0.027906338,0.71196795,0.61386555,0.58238214,1.0,0.035443995,0.004688544,0.89186776,0.16605574,0.17693028,0.35386497,0.26300892,0.15963492,
Propagation - Offset - One Direction - Ratio - Posterior,0.60770094,0.37929526,0.2111893,0.29614875,0.7046762,0.2929289,0.28171495,0.1718635,0.43935037,0.5283175,0.49657285,0.87372977,0.0765939,0.48457196,0.17923252,0.2317529,0.22361661,0.3235065,0.5843089,0.67651564,0.5340535,0.9264104,,0.31437105,0.35550496,0.0,0.22934435,0.26174295,0.12482656,,0.17149414,0.14466925,,0.6811696,,,0.909244,9.0320007E-4,0.2130039,0.4116795,0.9524593,0.702117,0.09436452,0.61983746,,0.11902015,0.121147476,,,0.0,0.0,,0.01583918,0.25025243,0.28515887,0.80644095,0.0,0.07446629,0.15038747,0.0,0.6660615,0.7734092,0.0,0.24997936,0.31561118,0.0,0.5978009,0.4561995,
Propagation - Offset - One Direction - Ratio - Left,0.0,0.07923236,0.054463137,0.051232424,0.06229997,0.0034615335,0.06718054,0.18753299,0.06162743,0.024840595,0.082952686,0.0,0.0,0.060808316,0.105469555,0.22527763,0.18087508,0.0,0.1924754,0.021098116,0.0,0.07067417,,0.023920853,0.15478876,0.0,0.29970133,0.08800149,0.30405077,,0.14136124,0.0,,0.12073651,,,0.03499875,0.325582,0.5739922,0.016256444,0.0,0.09580032,0.4051056,0.07349995,,0.054682314,0.35838956,,,0.027922174,0.06500297,,0.10605496,0.0,0.21513925,0.14622858,0.0,0.26318368,0.25784707,0.0,0.24887456,0.08573212,0.09858501,0.34373635,0.0,0.21997105,0.1391902,0.18963909,
Propagation - Offset - One Direction - Ratio - Right,0.0,0.0804911,0.49492797,0.38103962,0.0,0.45237654,0.18311936,0.22357799,0.30506998,0.2622405,0.0,0.040950555,0.004917251,0.1513423,0.028054142,0.34187588,0.23644374,0.21914996,0.05062627,0.03816441,0.29965717,0.0029154317,,0.041275173,0.29812494,0.0,0.35894886,0.11871098,0.28885922,,0.018110707,0.20783418,,0.12691648,,,0.04308831,0.0,0.0,0.5275893,0.0,0.03790871,0.014834094,0.028452922,,0.24990302,0.09916737,,,0.21914463,0.4716119,,0.45626235,0.13416377,0.11030278,0.019424066,0.28803208,0.048484482,0.009383362,0.0,0.049619954,0.13617016,0.009547206,0.24022855,0.50745857,0.42616394,0.0,0.19452648,
Region - Event Centroid Distance To Border,12.046876,8.378472,12.379871,12.718193,4.929231,6.1245327,8.985825,5.520491,12.495996,13.526486,0.9782161,2.5571802,9.6481905,8.09648,5.51844,2.622366,1.5462402,5.2062554,0.79738754,8.111004,5.699859,3.9268572,2.7516575,3.9507694,3.4182203,6.380506,4.0980163,6.853179,13.496883,5.0675364,6.539152,5.7500954,3.565595,6.225374,1.0917194,2.4248025,0.9388982,5.821334,1.6733205,5.7463827,4.80583,2.480906,4.017535,5.3598948,2.7735791,4.0819035,0.8826665,1.5927514,1.2101345,0.85482144,1.6874828,1.0747151,5.6765814,4.607103,3.9402854,0.9604117,1.014067,4.165769,3.3327186,4.8053904,0.8973999,3.2705264,0.84171164,0.7781108,3.6076515,1.4697613,2.468329,1.8123804,
Region - Event Centroid Distance To Border - Normalized By Region Radius,0.118106626,0.08214188,0.12137129,0.12468817,0.048325796,0.060044438,0.08809632,0.054122463,0.12250977,0.13261262,0.009590354,0.025070393,0.094590105,0.07937726,0.05410235,0.02570947,0.015159218,0.05104172,0.0078175245,0.079519644,0.05588097,0.0384986,0.026977034,0.038733035,0.033511963,0.06255398,0.04017663,0.06718803,0.13232239,0.04968173,0.06410933,0.056373484,0.034956813,0.06103308,0.010703132,0.023772573,0.009204884,0.0570719,0.016405104,0.056337085,0.04711598,0.024322608,0.0393876,0.052547988,0.027191952,0.040018663,0.008653593,0.01561521,0.011864063,0.008380602,0.016543949,0.010536423,0.05565276,0.045167673,0.03863025,0.009415802,0.009941834,0.040840875,0.032673713,0.04711167,0.008798039,0.032063983,0.008252075,0.0076285372,0.03536913,0.014409424,0.024199303,0.017768435,
Network - Temporal Density,12,33,37,12,12,8,11,10,24,15,12,9,22,20,22,29,17,30,13,18,26,19,20,4,16,22,29,47,12,28,30,10,21,29,8,3,21,10,3,15,18,34,66,29,18,30,9,12,17,14,15,12,27,20,83,15,12,17,65,20,4,27,11,7,61,2,8,29,
Network - Temporal Density With Similar Size Only,4,3,1,3,2,3,3,3,5,2,4,3,4,5,8,3,6,7,6,7,12,9,2,1,2,9,11,11,4,11,9,2,7,12,3,1,6,3,2,6,8,6,5,9,3,3,2,5,2,6,7,4,12,2,3,4,4,5,5,7,3,6,4,3,4,2,2,6,
NetWork - Spatial Density,38,46,39,46,41,41,39,21,41,41,16,40,17,26,10,36,46,41,41,19,46,38,36,39,46,29,46,26,39,10,19,41,19,16,17,41,19,41,41,41,41,17,26,26,13,41,24,34,35,15,34,41,34,41,34,36,19,46,46,41,34,37,46,46,46,19,39,34,
